股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
600641,先导基电,25,2026-07-30,2026-09-02,False,False,True
600654,中安科,120,2026-03-17,2026-09-07,True,False,False
600657,信达地产,25,2026-07-31,2026-09-03,False,False,True
600663,陆家嘴,25,2026-07-30,2026-09-02,False,False,True
600664,哈药股份,120,2026-03-13,2026-09-03,False,False,True
600666,奥瑞德,25,2026-07-30,2026-09-02,False,False,True
600683,京投发展,25,2026-07-30,2026-09-02,False,False,True
600691,潞化科技,25,2026-07-30,2026-09-02,False,False,True
600693,东百集团,120,2026-03-17,2026-09-07,True,False,False
600698,湖南天雁,250,2025-08-22,2026-09-02,False,True,True
600712,南宁百货,250,2025-08-22,2026-09-02,False,True,True
600714,金瑞矿业,25,2026-07-30,2026-09-02,False,False,True
600721,百花医药,25,2026-07-30,2026-09-02,False,False,True
600722,金牛化工,25,2026-07-30,2026-09-02,False,False,True
600737,中粮糖业,250,2025-08-27,2026-09-07,True,True,False
600746,江苏索普,120,2026-03-17,2026-09-07,True,False,False
600756,浪潮软件,25,2026-07-30,2026-09-02,False,False,True
600785,新华百货,25,2026-07-30,2026-09-02,False,False,True
600801,华新建材,250,2025-08-21,2026-09-01,False,True,True
600815,厦工股份,120,2026-03-17,2026-09-07,True,False,False
600828,茂业商业,25,2026-07-30,2026-09-02,False,False,True
600829,人民同泰,25,2026-07-30,2026-09-02,False,False,True
600830,香溢融通,25,2026-07-30,2026-09-02,False,False,True
600833,第一医药,25,2026-07-30,2026-09-02,False,False,True
600844,金煤科技,120,2026-03-17,2026-09-07,True,False,False
600857,宁波中百,120,2026-03-13,2026-09-03,False,False,True
600865,百大集团,26,2026-08-03,2026-09-07,True,False,False
600869,远东股份,25,2026-07-31,2026-09-03,False,False,True
600881,亚泰集团,25,2026-07-30,2026-09-02,False,False,True
600892,大晟文化,25,2026-07-30,2026-09-02,False,False,True
600962,国投中鲁,25,2026-07-30,2026-09-02,False,False,True
600967,内蒙一机,25,2026-07-30,2026-09-02,False,False,True
600969,郴电国际,120,2026-03-17,2026-09-07,True,False,False
600988,赤峰黄金,120,2026-03-13,2026-09-07,True,False,False
601002,晋亿实业,120,2026-03-17,2026-09-07,True,False,False
601003,柳钢股份,25,2026-07-30,2026-09-02,False,False,True
601011,宝泰隆,120,2026-03-17,2026-09-07,True,False,False
601015,陕西黑猫,120,2026-03-17,2026-09-07,True,False,False
601086,国芳集团,25,2026-07-30,2026-09-02,False,False,True
601118,海南橡胶,250,2025-08-25,2026-09-03,False,True,True
601138,工业富联,25,2026-07-30,2026-09-02,False,False,True
601179,中国西电,25,2026-07-30,2026-09-02,False,False,True
601208,东材科技,120,2026-03-13,2026-09-03,False,False,True
601212,白银有色,25,2026-07-30,2026-09-02,False,False,True
601233,桐昆股份,120,2026-03-17,2026-09-07,True,False,False
601566,九牧王,25,2026-07-30,2026-09-02,False,False,True
601579,会稽山,120,2026-03-17,2026-09-07,True,False,False
601595,上海电影,25,2026-08-04,2026-09-07,True,False,False
601609,金田股份,250,2025-08-22,2026-09-02,False,True,True
601700,风范股份,25,2026-07-30,2026-09-02,False,False,True
601869,长飞光纤,120,2026-03-17,2026-09-07,True,False,False
601886,江河集团,250,2025-08-27,2026-09-07,True,True,False
601899,紫金矿业,25,2026-07-30,2026-09-02,False,False,True
601949,中国出版,25,2026-08-04,2026-09-07,True,False,False
601958,金钼股份,25,2026-07-30,2026-09-02,False,False,True
603002,宏昌电子,25,2026-07-30,2026-09-02,False,False,True
603009,北特科技,120,2026-03-17,2026-09-07,True,False,False
603011,合锻智能,25,2026-07-30,2026-09-02,False,False,True
603016,新宏泰,25,2026-07-30,2026-09-02,False,False,True
603038,华立股份,120,2026-03-17,2026-09-07,True,False,False
603039,泛微网络,25,2026-07-30,2026-09-02,False,False,True
603052,可川科技,120,2026-03-17,2026-09-07,True,False,False
603061,金海通,25,2026-07-30,2026-09-02,False,False,True
603078,江化微,25,2026-07-30,2026-09-02,False,False,True
603079,圣达生物,25,2026-07-30,2026-09-02,False,False,True
603082,北自科技,120,2026-03-17,2026-09-07,True,False,False
603083,剑桥科技,25,2026-07-30,2026-09-02,False,False,True
603089,正裕工业,120,2026-03-13,2026-09-03,False,False,True
603090,宏盛股份,120,2026-03-17,2026-09-07,True,False,False
603093,南华期货,25,2026-07-30,2026-09-02,False,False,True
603095,越剑智能,25,2026-07-30,2026-09-02,False,False,True
603097,江苏华辰,25,2026-07-30,2026-09-02,False,False,True
603102,百合股份,25,2026-07-30,2026-09-02,False,False,True
603110,东方材料,25,2026-07-30,2026-09-02,False,False,True
603113,金能科技,25,2026-07-30,2026-09-02,False,False,True
603115,海星股份,25,2026-07-30,2026-09-02,False,False,True
603118,共进股份,120,2026-03-17,2026-09-07,True,False,False
603122,合富中国,25,2026-07-30,2026-09-02,False,False,True
603123,翠微股份,26,2026-08-03,2026-09-07,True,False,False
