股票代码,股票名称,首次进入日期,最近提交日期,提交次数,当前状态,淘汰日期,淘汰原因
600969,郴电国际,2026-09-02,2026-09-02,1,一级活跃,,
600988,赤峰黄金,2026-09-02,2026-09-02,1,一级活跃,,
601002,晋亿实业,2026-09-02,2026-09-02,1,一级活跃,,
601003,柳钢股份,2026-09-02,2026-09-02,1,活跃,,
601011,宝泰隆,2026-09-02,2026-09-02,1,一级活跃,,
601015,陕西黑猫,2026-09-02,2026-09-02,1,一级活跃,,
601086,国芳集团,2026-09-02,2026-09-03,2,活跃,,
601118,海南橡胶,2026-09-02,2026-09-02,1,进入30-40只研究池,,
601138,工业富联,2026-09-02,2026-09-02,1,活跃,,
601179,中国西电,2026-09-02,2026-09-02,1,活跃,,
601208,东材科技,2026-09-02,2026-09-02,1,一级活跃,,
601212,白银有色,2026-09-02,2026-09-03,2,活跃,,
601233,桐昆股份,2026-09-02,2026-09-03,2,活跃,,
601566,九牧王,2026-09-02,2026-09-03,2,活跃,,
601579,会稽山,2026-09-02,2026-09-02,1,一级活跃,,
601609,金田股份,2026-09-02,2026-09-02,1,一级活跃,,
601700,风范股份,2026-09-02,2026-09-02,1,活跃,,
601869,长飞光纤,2026-09-02,2026-09-02,1,一级活跃,,
601886,江河集团,2026-09-02,2026-09-02,1,一级活跃,,
601899,紫金矿业,2026-09-02,2026-09-02,1,活跃,,
601958,金钼股份,2026-09-02,2026-09-02,1,活跃,,
603002,宏昌电子,2026-09-02,2026-09-02,1,活跃,,
603009,北特科技,2026-09-02,2026-09-02,1,一级活跃,,
603011,合锻智能,2026-09-02,2026-09-02,1,活跃,,
603016,新宏泰,2026-09-02,2026-09-02,1,活跃,,
603038,华立股份,2026-09-02,2026-09-02,1,一级活跃,,
603039,泛微网络,2026-09-02,2026-09-02,1,活跃,,
603052,可川科技,2026-09-02,2026-09-02,1,一级活跃,,
603061,金海通,2026-09-02,2026-09-02,1,活跃,,
603078,江化微,2026-09-02,2026-09-02,1,活跃,,
603079,圣达生物,2026-09-02,2026-09-02,1,活跃,,
603082,北自科技,2026-09-02,2026-09-02,1,一级活跃,,
603083,剑桥科技,2026-09-02,2026-09-02,1,活跃,,
603089,正裕工业,2026-09-02,2026-09-02,1,一级活跃,,
603090,宏盛股份,2026-09-03,2026-09-03,1,一级活跃,,
603093,南华期货,2026-09-02,2026-09-02,1,活跃,,
603095,越剑智能,2026-09-02,2026-09-02,1,活跃,,
603097,江苏华辰,2026-09-02,2026-09-02,1,活跃,,
603102,百合股份,2026-09-02,2026-09-02,1,活跃,,
603110,东方材料,2026-09-02,2026-09-02,1,活跃,,
603113,金能科技,2026-09-02,2026-09-02,1,活跃,,
603115,海星股份,2026-09-02,2026-09-02,1,活跃,,
603118,共进股份,2026-09-02,2026-09-02,1,一级活跃,,
603122,合富中国,2026-09-02,2026-09-02,1,活跃,,
603150,万朗磁塑,2026-09-03,2026-09-03,1,活跃,,
603151,邦基科技,2026-09-02,2026-09-02,1,活跃,,
603171,税友股份,2026-09-02,2026-09-02,1,活跃,,
603186,华正新材,2026-09-02,2026-09-02,1,活跃,,
603188,亚邦股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
603191,望变电气,2026-09-02,2026-09-02,1,活跃,,
603200,上海洗霸,2026-09-02,2026-09-02,1,一级活跃,,
603203,快克智能,2026-09-02,2026-09-02,1,活跃,,
603206,嘉环科技,2026-09-02,2026-09-02,1,活跃,,
603207,小方制药,2026-09-02,2026-09-02,1,活跃,,
